MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241001,TN,36.23,63.77,18.87,1.78,0.00,0.00,2024-10-01,2024-10-07,1
20240924,TN,6.64,93.36,78.46,50.44,19.12,0.00,2024-09-24,2024-09-30,1
20240917,TN,3.36,96.64,74.88,44.28,7.31,0.00,2024-09-17,2024-09-23,1
20240910,TN,6.54,93.46,85.54,38.28,7.26,0.00,2024-09-10,2024-09-16,1
20240903,TN,11.24,88.76,59.74,14.91,3.68,0.00,2024-09-03,2024-09-09,1
20240827,TN,23.79,76.21,40.55,9.58,3.18,0.00,2024-08-27,2024-09-02,1
20240820,TN,45.47,54.53,23.44,4.08,0.00,0.00,2024-08-20,2024-08-26,1
20240813,TN,44.01,55.99,16.15,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,TN,58.09,41.91,7.39,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,TN,48.51,51.49,28.01,4.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,TN,31.86,68.14,48.28,24.63,1.42,0.00,2024-07-23,2024-07-29,1
20240716,TN,29.99,70.01,53.79,26.63,1.79,0.00,2024-07-16,2024-07-22,1
20240709,TN,30.56,69.44,46.92,13.06,0.00,0.00,2024-07-09,2024-07-15,1
20240702,TN,35.53,64.47,25.77,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,TN,60.58,39.42,2.40,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,TN,92.21,7.79,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,TN,99.71,0.29,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,TN,96.93,3.07,0.28,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,TN,84.36,15.64,1.33,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,TN,79.52,20.48,3.28,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,TN,71.75,28.25,2.01,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,TN,87.81,12.19,0.75,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,TN,81.85,18.15,1.89,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,TN,74.66,25.34,5.15,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,TN,77.18,22.82,3.68,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,TN,68.31,31.69,5.86,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,TN,64.84,35.16,19.38,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,TN,49.68,50.32,22.73,5.70,0.00,0.00,2024-03-12,2024-03-18,1
20240305,TN,40.33,59.67,27.11,5.70,0.00,0.00,2024-03-05,2024-03-11,1
20240227,TN,42.67,57.33,27.11,5.70,0.00,0.00,2024-02-27,2024-03-04,1
20240220,TN,49.35,50.65,27.11,5.70,0.00,0.00,2024-02-20,2024-02-26,1
20240213,TN,43.76,56.24,27.85,5.70,0.00,0.00,2024-02-13,2024-02-19,1
20240206,TN,32.44,67.56,41.45,12.43,1.13,0.00,2024-02-06,2024-02-12,1
20240130,TN,32.40,67.60,41.45,20.06,1.55,0.00,2024-01-30,2024-02-05,1
